code_name,display_name,group,order
avg_members_per_problem,Average discussants,Knowledge,1
pct_members_multiple,Multiple discussants,Knowledge,2
proj_hhi_pull_request_review_comment,Review concentration,Knowledge,3
proj_hhi_discussion_comment,Comment concentration,Knowledge,4
proj_prob_hhi_issue_comment,Issue thread concentration,Knowledge,5
proj_prob_hhi_pull_request_comment,Pull request comment concentration,Knowledge,6
proj_prob_hhi_pull_request_review,Pull request review concentration,Knowledge,7
proj_prob_hhi_pull_request_review_comment,Pull request review comment concentration,Knowledge,8
proj_prob_hhi_pull_request_review,Approved review share,Knowledge,9
proj_prob_hhi_pull_request_comment,Any review share,Knowledge,10
proj_hhi_discussion_comment,Discussion volume,Knowledge,11
share_issue_only,Issue only share,Knowledge,12
share_pr_only,Pull request only share,Knowledge,13
share_issue_and_pr,Both issue and pull request share,Knowledge,14
avg_unique_types,Unique activity types,Knowledge,15
cos_sim_same_actor,Same author similarity,Knowledge,16
cos_sim_diff_actor,Different author similarity,Knowledge,17
text_sim_ratio,Similarity ratio,Knowledge,18
response_rate,Response rate,Talent,1
mean_days_to_respond,Response time,Talent,2
pos_sentiment_avg,Response positivity,Talent,3
neg_sentiment_avg,Response negativity,Talent,4
ov_sentiment_avg,Overall sentiment,Talent,5
pull_request_review_rate_weighted,Pull request response quantity,Talent,6
pull_request_review_rate_weighted,Advanced to merging,Talent,7
pull_request_merged_rate_weighted,Advanced to reviewing,Talent,8
any_activity_rate_weighted,Advanced to merging or reviewing,Talent,9
clustering_coefficient,Clustering coefficient,Talent,10
mean_has_reviewer,Assigned Reviewers,Routines,1
mean_has_assignee,Assigned Assignee,Routines,2
mean_has_tag,Assigned Tag,Routines,3
has_codeowners,Has Codeowners,Routines,4
has_issue_template,Has issue template,Routines,5
has_pr_template,Has pull request template,Routines,6
has_contributing_guide,Has contributing guide,Routines,7
has_code_of_conduct,Has code of conduct,Routines,8
has_good_first_issue,Has good first issues,Routines,9
